Day,Month,Year,Hour,Minute,Temperature(Celsius)
22,Sep,2021,00,00,19.5
22,Sep,2021,00,01,19.5
22,Sep,2021,00,02,19.5
22,Sep,2021,00,29,0.5
22,Sep,2021,00,30,19.5
22,Sep,2021,00,31,19.5
22,Sep,2021,00,32,19.5
22,Sep,2021,00,33,19.5
22,Sep,2021,00,34,19.5
22,Sep,2021,00,35,19.5
22,Sep,2021,00,36,19.5
22,Sep,2021,00,37,19.5
22,Sep,2021,00,38,19.5
22,Sep,2021,00,39,19.5
22,Sep,2021,00,40,19.5
22,Sep,2021,00,41,19.5
22,Sep,2021,00,42,19.5
22,Sep,2021,00,43,19.5
22,Sep,2021,00,44,19.5
22,Sep,2021,00,45,19.5
22,Sep,2021,00,46,19.5
22,Sep,2021,00,47,19.5
22,Sep,2021,00,48,19.5
22,Sep,2021,00,49,19.5
22,Sep,2021,00,50,19.5
22,Sep,2021,00,51,19.5
22,Sep,2021,00,52,19.5
22,Sep,2021,00,53,19.5
22,Sep,2021,00,54,19.5
22,Sep,2021,00,55,19.5
22,Sep,2021,00,56,19.5
22,Sep,2021,00,57,19.5
22,Sep,2021,00,58,19.5
22,Sep,2021,00,59,19.5
22,Sep,2021,01,00,19.5
22,Sep,2021,01,01,19.5
22,Sep,2021,01,02,19.5
22,Sep,2021,01,03,19.5
22,Sep,2021,01,04,19.5
22,Sep,2021,01,05,19.5
22,Sep,2021,01,06,19.5
22,Sep,2021,01,07,19.5
22,Sep,2021,01,08,19.5
22,Sep,2021,01,09,19.5
22,Sep,2021,01,10,19.5
22,Sep,2021,01,11,19.5
22,Sep,2021,01,12,19.5
22,Sep,2021,01,13,19.5
22,Sep,2021,01,14,19.5
22,Sep,2021,01,15,19.5
22,Sep,2021,01,16,19.5
22,Sep,2021,01,17,19.5
22,Sep,2021,01,18,19.5
22,Sep,2021,01,19,19.5
22,Sep,2021,01,20,19.5
22,Sep,2021,01,21,19.5
22,Sep,2021,01,22,19.5
22,Sep,2021,01,23,19.5
22,Sep,2021,01,24,19.5
22,Sep,2021,01,25,19.5
22,Sep,2021,01,26,19.5
22,Sep,2021,01,27,19.5
22,Sep,2021,01,28,19.5
22,Sep,2021,01,29,19.5
22,Sep,2021,01,30,19.5
22,Sep,2021,01,31,19.5
22,Sep,2021,01,32,19.5
22,Sep,2021,01,33,19.5
22,Sep,2021,01,34,19.5
22,Sep,2021,01,35,19.5
22,Sep,2021,01,36,19.5
22,Sep,2021,01,37,19.5
22,Sep,2021,01,38,19.5
22,Sep,2021,01,39,19.5
22,Sep,2021,01,40,19.5
22,Sep,2021,01,41,19.5
22,Sep,2021,01,42,19.5
22,Sep,2021,01,43,19.5
22,Sep,2021,01,44,19.5
22,Sep,2021,01,45,19.5
22,Sep,2021,01,46,19.5
22,Sep,2021,01,47,19.5
22,Sep,2021,01,48,19.5
22,Sep,2021,01,49,19.5
22,Sep,2021,01,50,19.5
22,Sep,2021,01,51,19.5
22,Sep,2021,01,52,19.5
22,Sep,2021,01,53,19.5
22,Sep,2021,01,54,19.5
22,Sep,2021,01,55,19.5
22,Sep,2021,01,56,19.5
22,Sep,2021,01,57,19.5
22,Sep,2021,01,58,19.5
22,Sep,2021,01,59,19.5
22,Sep,2021,02,00,19.5
